trait,model,split,mae,mse,rmse,r2,pearson_r,pearson_p
extraversion,mean_baseline,validation,0.1269397196261683,0.024024625877078067,0.15499879314716636,-6.144537519769955e-05,,
extraversion,mean_baseline,test,0.12216806853582558,0.022784558331149746,0.1509455475698099,-0.008050211276236174,,
extraversion,linear_regression,validation,0.10763349920225705,0.01774185205298086,0.13319854373446002,0.2614685323917768,0.5118502843301936,2.252866532196733e-41
extraversion,linear_regression,test,0.10998598493971902,0.019003064933595274,0.13785160475524133,0.15925323884739517,0.40333496391552326,7.0596228090693985e-25
extraversion,random_forest,validation,0.10573390446521289,0.0171768596982431,0.13106051922010342,0.2849871950255236,0.5343542756792052,1.3310208171193561e-45
extraversion,random_forest,test,0.10379574247144344,0.017139275000566122,0.13091705389507557,0.24171232400753961,0.4932337755218667,4.167124622707184e-38
extraversion,xgboost,validation,0.11545028053990038,0.02078511478501459,0.14417043658467082,0.1347881111429332,0.44420630813226225,2.095266574428841e-30
extraversion,xgboost,test,0.10952936316019281,0.019597420403035033,0.1399907868505461,0.1329573524916423,0.42056180727847314,4.083011061797739e-27
agreeableness,mean_baseline,validation,0.10921218711843712,0.018919678754452964,0.13754882316636868,-0.0007230693411939271,,
agreeableness,mean_baseline,test,0.10684235347985348,0.017977483266790443,0.13408013748050246,-0.0016388799524666986,,
agreeableness,linear_regression,validation,0.10396796608362956,0.017215063810434365,0.1312061881560255,0.08943953441980645,0.3005601432826923,5.417940481958242e-14
agreeableness,linear_regression,test,0.10249535182624415,0.016982512741221846,0.1303169702733372,0.05379719794711635,0.2350707096239069,5.6134581845944245e-09
agreeableness,random_forest,validation,0.10537576312576313,0.01705534368500852,0.1305961089964342,0.09788764901129199,0.3201827622526965,9.051726375624208e-16
agreeableness,random_forest,test,0.10107216117216117,0.01623336291913215,0.12741021512866285,0.09553705538871271,0.3100254114673453,7.819571998305484e-15
agreeableness,xgboost,validation,0.11599302333052999,0.020647654134755788,0.14369291609107177,-0.09212128221601157,0.22172757552588823,4.057576879112635e-08
agreeableness,xgboost,test,0.1118134712943664,0.019851928695116903,0.14089687255264718,-0.10607604679601734,0.16927149358033325,3.076162361920873e-05
conscientiousness,mean_baseline,validation,0.12727808117583606,0.02460618199317796,0.15686357765006498,-0.0005252931913231063,,
conscientiousness,mean_baseline,test,0.12320066073354909,0.022776555876463645,0.15091903748852775,-0.005711690785084933,,
conscientiousness,linear_regression,validation,0.1229604097661155,0.022871760073321687,0.15123412337604794,0.06999897588718651,0.26545722273124633,3.903400561487722e-11
conscientiousness,linear_regression,test,0.11945767241083916,0.02149140893242497,0.14659948476179913,0.05103469848494635,0.23303559641152843,7.650314991097978e-09
conscientiousness,random_forest,validation,0.12105620280474648,0.022027282918416578,0.14841591194483353,0.10433671886734741,0.32540716712869777,2.890612698427259e-16
conscientiousness,random_forest,test,0.11605922330097088,0.020568923848723823,0.14341870118197217,0.09176754845072199,0.3090923787963893,9.493157151868602e-15
conscientiousness,xgboost,validation,0.1327991844400233,0.0265698247719296,0.16300252995561018,-0.08037003576366564,0.21946235581858564,5.608862647846173e-08
conscientiousness,xgboost,test,0.12697801033993372,0.025057262875949296,0.1582948605481217,-0.10641759667704376,0.19807950107030167,1.006539905354555e-06
neuroticism,mean_baseline,validation,0.12951979166666666,0.024861065297067907,0.15767392078929193,-0.0004707302835311733,,
neuroticism,mean_baseline,test,0.11950462962962964,0.022788424720293216,0.15095835425803109,-0.007137591630289819,,
neuroticism,linear_regression,validation,0.11902314352933577,0.02111306909207194,0.14530336916972,0.15035790298322027,0.39086039424927443,2.4523005958917056e-23
neuroticism,linear_regression,test,0.11412660467992031,0.020705634549737593,0.14389452578099554,0.08491160887353688,0.29696329903213814,1.1099861873075416e-13
neuroticism,random_forest,validation,0.1162505787037037,0.020582599428530093,0.14346637037483764,0.1717053136969342,0.4156523017450527,1.8282326323424863e-26
neuroticism,random_forest,test,0.1096795138888889,0.01926694077932099,0.1388054061602825,0.1484948796268053,0.3880540788672127,5.3362244509869e-23
neuroticism,xgboost,validation,0.12822084574235812,0.024948013411568215,0.15794940142833153,-0.003969737368362702,0.30759235056238576,1.2947796182551814e-14
neuroticism,xgboost,test,0.11892887736360232,0.02299389235062625,0.15163737122037643,-0.016218262054486177,0.2961614349841427,1.300665181748084e-13
openness,mean_baseline,validation,0.12179618827160492,0.02271540655542695,0.15071631151082138,-2.6790660992315196e-05,,
openness,mean_baseline,test,0.11363092592592589,0.021126654412079896,0.14535010977663518,-0.00040090955905358605,,
openness,linear_regression,validation,0.11044261887224845,0.019098033954131902,0.1381956365234876,0.15922501512426834,0.40305685804072555,7.6533173602043745e-25
openness,linear_regression,test,0.10751931865512498,0.01925670531790945,0.13876853143962234,0.08814594401032194,0.2978514883132646,9.306919376276909e-14
openness,random_forest,validation,0.11009290123456789,0.018832717130772742,0.13723234724645914,0.17090536655116562,0.41371289141462886,3.282985075678312e-26
openness,random_forest,test,0.10340759259259255,0.01738363767946959,0.13184702377933902,0.17684046859578817,0.4214955534245077,3.0615152018366267e-27
openness,xgboost,validation,0.11927556264069343,0.02305000859511955,0.15182229281340587,-0.01475736583630094,0.3091393070717223,9.401160409771263e-15
openness,xgboost,test,0.11111657180554334,0.019380298669201133,0.13921314115126177,0.08229348395507774,0.3800001460366321,4.768493316417001e-22
