video_path,split
C:\Users\athas\Downloads\Chalearn\first-impressions\test\--Ymqszjv54.000.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\-10-QQDO_ME.001.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\-10-QQDO_ME.002.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\-10-QQDO_ME.005.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\-4J4xkfN5cI.000.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\-4J4xkfN5cI.002.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\-6otZ7M-Mro.002.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\-6otZ7M-Mro.004.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\-8asrRvfJWA.002.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\-agCXYgb7pI.002.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\-aU2FN5pkWA.000.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\-awAu11kBZ0.001.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\-DOqN0d8KHw.004.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\-DOqN0d8KHw.005.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\-fqiCqZtgYs.005.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\-Gl98Jn45Fs.004.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\-KtFfRqPFXA.003.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\-lSBwF052u0.005.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\-m5QCnnp-vI.000.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\-mt-IKgGhuY.002.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\-N6QKrbnaDs.000.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\-N6QKrbnaDs.001.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\-N6QKrbnaDs.003.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\-N6QKrbnaDs.004.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\-NwfYYf5xLo.002.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\-PWjgx2czwY.001.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\-R2SZu3SYgM.001.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\-RqxrwIxMvE.004.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\-rxiLMvlZqM.002.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\-VTqcHNgH7M.000.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\-Wqk9eex6bQ.000.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\-ZP25UpJeJ4.000.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\04oq2yrBwMg.002.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\05l5bteT_qA.003.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\0axZSeaUbfs.000.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\0G2o3fik36I.000.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\0G2o3fik36I.001.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\0G2o3fik36I.002.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\0iQIfGnKflc.000.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\0iQIfGnKflc.003.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\0kg6pmbSN6A.003.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\0kg6pmbSN6A.004.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\0MB91ku0eEw.000.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\0MB91ku0eEw.001.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\0MB91ku0eEw.002.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\0MB91ku0eEw.004.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\0MB91ku0eEw.005.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\0ObEtA6Q8vU.001.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\0QTR0WiJSNk.005.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\0SS47KwVOQ4.001.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\0u56Q_QmxIM.000.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\0uCqd5hZcyI.002.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\0uCqd5hZcyI.003.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\0_xOGmydDN0.005.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\1-GgVRmAEoo.001.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\12Ezy1y1cWY.000.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\12lqQE6oPNE.003.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\13kjwEtSyXc.003.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\13KtmgntgQw.004.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\19cplBTXyoY.001.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\19pTUX8KfYM.001.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\19pTUX8KfYM.002.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\19pTUX8KfYM.003.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\1DCnIad1Y0w.001.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\1hpZ2ecWqtI.004.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\1Kb5d-w3YJ8.001.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\1Lv72Si4GnY.000.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\1mdMhaq5p4w.003.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\1mHjMNZZvFo.001.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\1mReUxIEuw0.004.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\1q-N_zbsAg0.002.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\1q-N_zbsAg0.005.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\1tPH6PNeOSk.005.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\1uC-2TZqplE.003.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\1Wh2mIFrGvk.000.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\1XqMZQu_pP4.004.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\1yIGI42lzak.000.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\2-LDYe7OXZU.002.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\26CMYJn3u6Y.000.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\26CMYJn3u6Y.001.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\26ZnknvfdNM.000.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\29UCGJldICw.000.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\2AV8m02PjdU.001.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\2AV8m02PjdU.004.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\2AV8m02PjdU.005.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\2AYq7CdNXNo.005.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\2bAsXLQjlt8.000.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\2bAsXLQjlt8.003.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\2c42A4Z7qPE.001.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\2d6btbaNdfo.000.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\2d6btbaNdfo.002.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\2DZb5yIc6Fg.000.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\2f7rLXwzP3s.005.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\2Fgn78rYjPM.004.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\2fzLibPAtvI.003.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\2GHz8LYflE0.001.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\2GHz8LYflE0.003.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\2HE6cw3HFPk.000.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\2hhqEWiv4eI.005.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\2kqPuht5jTg.000.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\2mfmw63l88g.000.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\2NNYN1ZCJhw.001.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\2oEUp9sGRGk.002.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\2PSGksTyrnI.000.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\2q8orkMs2Jg.004.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\2SzC9dm4Yy4.000.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\2SzC9dm4Yy4.004.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\2SzC9dm4Yy4.005.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\2TbU3Eg2i4A.000.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\2TbU3Eg2i4A.002.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\2TMl5EMrdVI.001.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\2TXrDZgbDHE.000.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\2TXrDZgbDHE.004.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\2uAJJH7B5aw.002.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\2UxhlaDEPmI.001.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\2Z8Xi_DTlpI.000.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\2Z8Xi_DTlpI.005.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\300gK3CnzW0.001.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\300gK3CnzW0.003.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\36sZ__mv_KY.000.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\383HhOtOBwg.005.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\38fE5B4ghw0.001.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\39o1zJFeM7E.000.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\3b9fhd-EDaY.000.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\3b9fhd-EDaY.002.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\3CyIOM2izmI.000.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\3df_Uk9EmwU.002.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\3DURnr95fMg.001.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\3DURnr95fMg.003.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\3DURnr95fMg.005.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\3g6Ab-BIbR4.004.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\3gmc2kLV4Bo.003.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\3hKgh9AB3tk.003.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\3hKgh9AB3tk.004.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\3J7Cl3FXs1o.005.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\3JAFkk42zPs.000.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\3JAFkk42zPs.003.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\3LAaFUSGvsU.005.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\3P_D_bd-_NM.004.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\3S72dDIm1fM.002.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\3S72dDIm1fM.004.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\3S72dDIm1fM.005.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\3taD1fEPfC8.005.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\3tPq9fNOXZQ.000.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\3Vr5-zedeWk.001.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\3VTL2kFt17M.003.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\3VyriB3isO8.005.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\3wgZrRMosvY.001.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\3wgZrRMosvY.004.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\3WmWJ1lNy-U.002.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\3WoXkI06zGk.000.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\3wRj39GKLJ0.000.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\3wRj39GKLJ0.002.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\3wRj39GKLJ0.003.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\3ySH8eJQRCI.000.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\3zAyM2edy1g.002.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\3zAyM2edy1g.005.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\40rn4A64Bdk.004.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\41NNb7cucVo.004.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\43tayteIFRk.001.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\43tayteIFRk.003.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\48S9_KZvzVw.002.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\4a6-tNo-NDM.001.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\4bDOetaLvZs.002.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\4bDOetaLvZs.003.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\4CSV8L7aVik.003.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\4CSV8L7aVik.004.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\4fN-DKUzgWQ.004.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\4FS7wEOOBNk.004.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\4JjpfL4y3XM.002.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\4JjpfL4y3XM.004.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\4kIHxR6s1L4.003.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\4kYaYIcuLpM.000.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\4lIbWq27O84.003.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\4lj66h4CXI8.000.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\4nJLbAKgwfw.003.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\4OKYywIqnqg.000.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\4Qr1BjZhnpg.001.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\4RKQGZzPClk.000.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\4vdJGgZpj4k.000.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\4vdJGgZpj4k.003.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\4vJ69g7gAH4.002.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\4XdZDodpzac.004.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\4yogPbHFQ9o.001.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\50gokPvvMs8.001.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\50gokPvvMs8.004.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\50gokPvvMs8.005.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\51KRxB3g7A8.002.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\51z2rCqPqPE.004.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\53gtUkC7IZM.000.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\53gtUkC7IZM.002.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\53QFyec0uN0.000.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\53QFyec0uN0.001.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\54JawR1x0II.000.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\54JawR1x0II.004.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\57o4odfqTs8.000.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\5bi_PM3XMEQ.001.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\5BPGRteF64Y.003.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\5BPGRteF64Y.004.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\5bYq8LXMRaw.004.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\5CRqN54uejE.001.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\5Eez38v8TuU.004.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\5ghk5950BhU.000.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\5ghk5950BhU.003.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\5IqtX-uq28E.004.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\5Ku4_r_Yxsk.003.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\5kwoq4EZixQ.000.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\5QUDu-PC7N4.000.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\5T2PhH-OMds.002.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\5VG1EgzvprE.004.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\5Wmlo8Z5yVA.000.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\5xA5iKk4v6w.000.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\5xA8-Y5qgT0.002.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\5xA8-Y5qgT0.005.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\5z4G0biL9B4.005.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\6-_1-vBNl_0.000.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\69BopbFc34U.002.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\69BopbFc34U.005.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\69EsTnCVCp0.000.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\69EsTnCVCp0.002.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\69EsTnCVCp0.004.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\69EsTnCVCp0.005.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\6EMgu2djYrU.000.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\6JfSPPVUgIg.000.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\6l0RBbxg4fk.000.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\6M8OQNo64Tc.001.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\6N02tjYPLh8.003.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\6N02tjYPLh8.004.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\6NjuNY4LfQc.000.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\6NjuNY4LfQc.003.mp4,test
C:\Users\athas\Downloads\Chalearn\first-impressions\test\6NjuNY4LfQc.005.mp4,test
