split,path,readable,fps,duration_sec,width,height,error
test,C:\Users\athas\Downloads\Chalearn\first-impressions\test\7knYNR1tAig.003.mp4,True,29.97,15.315,1280,720,
test,C:\Users\athas\Downloads\Chalearn\first-impressions\test\mEQBB6XsJFk.002.mp4,True,29.97,15.315,1280,720,
test,C:\Users\athas\Downloads\Chalearn\first-impressions\test\5CRqN54uejE.001.mp4,True,14.985,15.349,1280,720,
test,C:\Users\athas\Downloads\Chalearn\first-impressions\test\9XqeGs2MMic.002.mp4,True,24.518,15.336,1080,720,
test,C:\Users\athas\Downloads\Chalearn\first-impressions\test\0MB91ku0eEw.005.mp4,True,29.97,15.315,1280,720,
test,C:\Users\athas\Downloads\Chalearn\first-impressions\test\XFpzukISe6s.002.mp4,True,30.0,15.3,1280,720,
test,C:\Users\athas\Downloads\Chalearn\first-impressions\test\knpgk7LAMb0.003.mp4,True,30.0,15.3,1280,720,
test,C:\Users\athas\Downloads\Chalearn\first-impressions\test\lyznxF-Pj6g.003.mp4,True,29.97,15.315,1280,720,
test,C:\Users\athas\Downloads\Chalearn\first-impressions\test\C47tB5JmEqQ.005.mp4,True,29.97,15.315,1280,720,
test,C:\Users\athas\Downloads\Chalearn\first-impressions\test\TyE0bVJZZto.003.mp4,True,25.0,15.32,1280,720,
test,C:\Users\athas\Downloads\Chalearn\first-impressions\test\owRKOW0ymCM.001.mp4,True,30.0,15.3,1280,720,
test,C:\Users\athas\Downloads\Chalearn\first-impressions\test\W0Ay5uul8j0.003.mp4,True,29.97,15.315,1280,720,
test,C:\Users\athas\Downloads\Chalearn\first-impressions\test\IQNNEfYYYiw.001.mp4,True,25.0,15.32,1280,720,
test,C:\Users\athas\Downloads\Chalearn\first-impressions\test\fY4tctYZTz8.002.mp4,True,23.976,15.307,1280,720,
test,C:\Users\athas\Downloads\Chalearn\first-impressions\test\SIpQm4G4DDg.005.mp4,True,29.97,15.315,1280,720,
test,C:\Users\athas\Downloads\Chalearn\first-impressions\test\hI-wCYzV8xs.002.mp4,True,29.97,15.315,1280,720,
test,C:\Users\athas\Downloads\Chalearn\first-impressions\test\u_qvbRpm88k.004.mp4,True,14.583,15.36,1280,720,
test,C:\Users\athas\Downloads\Chalearn\first-impressions\test\P2T93mqAsWk.000.mp4,True,29.97,15.315,1280,720,
test,C:\Users\athas\Downloads\Chalearn\first-impressions\test\ZNymNgd5EuQ.003.mp4,True,29.97,15.315,1280,720,
test,C:\Users\athas\Downloads\Chalearn\first-impressions\test\EwMMNKLjO9w.004.mp4,True,30.0,15.3,1280,720,
test,C:\Users\athas\Downloads\Chalearn\first-impressions\test\fyXiORXmWHs.000.mp4,True,29.97,15.315,1280,720,
test,C:\Users\athas\Downloads\Chalearn\first-impressions\test\fEZrAGQoh_g.003.mp4,True,30.0,15.3,1280,720,
test,C:\Users\athas\Downloads\Chalearn\first-impressions\test\j6Rvmjjp7pU.001.mp4,True,23.976,15.307,1280,720,
test,C:\Users\athas\Downloads\Chalearn\first-impressions\test\2Z8Xi_DTlpI.005.mp4,True,25.0,15.32,1280,720,
test,C:\Users\athas\Downloads\Chalearn\first-impressions\test\hX2TVefa5bQ.003.mp4,True,29.97,15.315,1280,720,
train,C:\Users\athas\Downloads\Chalearn\first-impressions\train\a-nUsP7oETI.000.mp4,True,29.97,15.315,1280,720,
train,C:\Users\athas\Downloads\Chalearn\first-impressions\train\mY1ZTvNVkSA.002.mp4,True,29.97,15.315,1280,720,
train,C:\Users\athas\Downloads\Chalearn\first-impressions\train\foj4bqLSmF8.002.mp4,True,29.97,15.315,1280,720,
train,C:\Users\athas\Downloads\Chalearn\first-impressions\train\KpTHRBaYny8.005.mp4,True,29.97,15.315,1280,720,
train,C:\Users\athas\Downloads\Chalearn\first-impressions\train\b-qfeGqPd04.000.mp4,True,25.0,15.32,1280,720,
train,C:\Users\athas\Downloads\Chalearn\first-impressions\train\3AyjQQYmqU4.003.mp4,True,29.97,15.315,1280,720,
train,C:\Users\athas\Downloads\Chalearn\first-impressions\train\kL-CeaXG9jM.001.mp4,True,29.97,15.315,960,720,
train,C:\Users\athas\Downloads\Chalearn\first-impressions\train\lxnV9X8T2Zc.000.mp4,True,29.97,15.315,1280,720,
train,C:\Users\athas\Downloads\Chalearn\first-impressions\train\F4UeAogUMMs.003.mp4,True,29.97,15.315,1280,720,
train,C:\Users\athas\Downloads\Chalearn\first-impressions\train\zY0J9qKEekE.004.mp4,True,25.0,15.32,1280,720,
train,C:\Users\athas\Downloads\Chalearn\first-impressions\train\bmj4khBLUOs.001.mp4,True,29.97,15.315,1280,720,
train,C:\Users\athas\Downloads\Chalearn\first-impressions\train\8i7H-uSCQcc.001.mp4,True,25.0,15.32,1280,720,
train,C:\Users\athas\Downloads\Chalearn\first-impressions\train\io8dFIfl9Go.000.mp4,True,29.97,15.315,1280,720,
train,C:\Users\athas\Downloads\Chalearn\first-impressions\train\nUbhRInpVbA.004.mp4,True,30.0,15.3,1280,720,
train,C:\Users\athas\Downloads\Chalearn\first-impressions\train\m536hegSuKI.004.mp4,True,25.0,15.32,1280,720,
train,C:\Users\athas\Downloads\Chalearn\first-impressions\train\xQHmbJ_lPjY.005.mp4,True,23.976,15.307,1280,720,
train,C:\Users\athas\Downloads\Chalearn\first-impressions\train\opyTSeVCYtE.002.mp4,True,29.97,15.315,1280,720,
train,C:\Users\athas\Downloads\Chalearn\first-impressions\train\6zm71IHOCZA.002.mp4,True,30.0,15.3,1280,720,
train,C:\Users\athas\Downloads\Chalearn\first-impressions\train\LuLUAwn0aWU.004.mp4,True,29.97,15.315,1280,720,
train,C:\Users\athas\Downloads\Chalearn\first-impressions\train\AwNVGShHjvw.001.mp4,True,29.97,15.315,1280,720,
train,C:\Users\athas\Downloads\Chalearn\first-impressions\train\UGp1GNK0GWg.000.mp4,True,29.97,15.315,1280,720,
