split,path,readable,fps,duration_sec,width,height,error
test,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Test\510009\5100092027\5100092027.avi,True,30.0,10.0,640,480,
test,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Test\500044\5000442039\5000442039.avi,True,30.0,10.0,640,480,
test,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Test\500044\5000442034\5000442034.avi,True,30.0,10.0,640,480,
test,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Test\510047\5100471013\5100471013.avi,True,30.0,10.0,640,480,
test,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Test\500044\5000442056\5000442056.avi,True,30.0,10.0,640,480,
test,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Test\987736\9877360128\9877360128.avi,True,30.0,10.0,640,480,
test,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Test\998826\9988260143\9988260143.avi,True,30.0,10.0,640,480,
test,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Test\500095\5000952040\5000952040.avi,True,30.0,10.0,640,480,
test,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Test\510046\5100462038\5100462038.avi,True,30.0,10.0,640,480,
test,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Test\510009\5100092042\5100092042.avi,True,30.0,10.0,640,480,
test,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Test\510046\5100461015\5100461015.avi,True,30.0,10.0,640,480,
test,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Test\882654\88265402520\88265402520.mp4,True,30.0,10.467,640,480,
test,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Test\882654\88265401240\88265401240.mp4,True,30.0,10.467,640,480,
test,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Test\510034\5100341020\5100341020.avi,True,30.0,10.0,640,480,
test,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Test\510038\5100382011\5100382011.avi,True,30.0,10.0,640,480,
test,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Test\500095\5000951067\5000951067.avi,True,30.0,10.0,640,480,
test,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Test\987736\9877360177\9877360177.avi,True,30.0,10.0,640,480,
test,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Test\510045\5100452017\5100452017.avi,True,30.0,10.0,640,480,
test,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Test\500095\5000951052\5000951052.avi,True,30.0,10.0,640,480,
test,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Test\510040\5100401062\5100401062.avi,True,30.0,10.0,640,480,
test,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Test\998826\9988260211\9988260211.avi,True,30.0,10.0,640,480,
test,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Test\940328\9403280234\9403280234.avi,True,30.0,10.0,640,480,
test,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Test\940328\9403280136\9403280136.avi,True,30.0,10.0,640,480,
test,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Test\510040\5100401051\5100401051.avi,True,30.0,10.0,640,480,
test,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Test\500095\5000952044\5000952044.avi,True,30.0,10.0,640,480,
train,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Train\310062\3100621003\3100621003.avi,True,30.0,10.0,640,480,
